audio_file,path,link,duration_s,true_group,true_class,true_speaker,train_files,legacy_pred_class,legacy_pred_speaker,legacy_conf,legacy_verdict,legacy_true_rank,legacy_true_in_top2,legacy_true_in_top5,cluster_pred_class,cluster_pred_speaker,cluster_conf,cluster_verdict,cluster_true_rank,cluster_true_in_top2,cluster_true_in_top5,any_error,error_group,note
0e928e78-2edb-4547-818d-f5fdd53029de.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\0e928e78-2edb-4547-818d-f5fdd53029de.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\0e928e78-2edb-4547-818d-f5fdd53029de.wav"",""0e928e78-2edb-4547-818d-f5fdd53029de.wav"")",14.93,known,288,a22d3a2d-515c-45bf-883e-13e76c5317ae,5,122,3e9763b4-b699-4463-bac1-c6e24e59222c,0.2724,known->wrong_known,149,False,False,0,unknown,0.3334,known->unknown,16,False,False,True,both,
1c0ef815-e536-4e79-bb55-982945a7c584.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\1c0ef815-e536-4e79-bb55-982945a7c584.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\1c0ef815-e536-4e79-bb55-982945a7c584.wav"",""1c0ef815-e536-4e79-bb55-982945a7c584.wav"")",43.89,known,360,cc4315f7-5c32-4148-b02f-2e385519543e,5,0,unknown,0.4872,known->unknown,55,False,False,0,unknown,0.485,known->unknown,148,False,False,True,both,
2a69651d-b773-4aae-ac4c-3cf2a225aaa1.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\2a69651d-b773-4aae-ac4c-3cf2a225aaa1.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\2a69651d-b773-4aae-ac4c-3cf2a225aaa1.wav"",""2a69651d-b773-4aae-ac4c-3cf2a225aaa1.wav"")",8.19,known,442,fd02d27a-9b5c-4067-a7b9-a68bf9f5079d,5,386,d8afd1b6-201c-46bb-838e-c79e1668eb2b,0.2875,known->wrong_known,124,False,False,0,unknown,0.4224,known->unknown,294,False,False,True,both,
3d53b1a3-0251-44fa-b1ec-543946dce003.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\3d53b1a3-0251-44fa-b1ec-543946dce003.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\3d53b1a3-0251-44fa-b1ec-543946dce003.wav"",""3d53b1a3-0251-44fa-b1ec-543946dce003.wav"")",78.76,unknown,0,unknown,,121,3e4ca752-cf3b-4399-af3b-f43c2dda1fae,0.9105,unknown->known,3,False,True,121,3e4ca752-cf3b-4399-af3b-f43c2dda1fae,0.7288,unknown->known,2,True,True,True,both,
4e5be1f1-c4c5-4e65-a8a2-60751679331c.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\4e5be1f1-c4c5-4e65-a8a2-60751679331c.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\4e5be1f1-c4c5-4e65-a8a2-60751679331c.wav"",""4e5be1f1-c4c5-4e65-a8a2-60751679331c.wav"")",5.97,known,430,f546a444-1ada-48d4-8829-479bc392c338,5,0,unknown,0.3879,known->unknown,178,False,False,0,unknown,0.3498,known->unknown,125,False,False,True,both,
56f49531-2241-47e7-9021-886f4ab6fd10.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\56f49531-2241-47e7-9021-886f4ab6fd10.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\56f49531-2241-47e7-9021-886f4ab6fd10.wav"",""56f49531-2241-47e7-9021-886f4ab6fd10.wav"")",94.89,known,420,f27cf93a-a750-47f9-94aa-3e3372f44ca0,5,148,4e3c2da0-9a15-4e3f-873f-84ed281e2215,0.6742,known->wrong_known,8,False,False,0,unknown,0.6876,known->unknown,3,False,True,True,both,
7d5601d3-ce4a-4700-91d7-08c16040efa7.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\7d5601d3-ce4a-4700-91d7-08c16040efa7.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\7d5601d3-ce4a-4700-91d7-08c16040efa7.wav"",""7d5601d3-ce4a-4700-91d7-08c16040efa7.wav"")",12.54,known,363,cdb0aa4d-efa9-45d1-91d5-b69bae0becee,5,0,unknown,0.5606,known->unknown,131,False,False,0,unknown,0.8095,known->unknown,64,False,False,True,both,
85f1b526-73e9-48f3-939b-1c1ea654774e.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\85f1b526-73e9-48f3-939b-1c1ea654774e.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\85f1b526-73e9-48f3-939b-1c1ea654774e.wav"",""85f1b526-73e9-48f3-939b-1c1ea654774e.wav"")",38.66,known,300,a92f35e0-7afa-407b-9948-eb604328de9d,5,390,daffc1b6-de2e-43e5-88b0-a5619692a0b7,0.5417,known->wrong_known,189,False,False,0,unknown,0.603,known->unknown,114,False,False,True,both,
9046fd84-09ce-4a19-a28a-614c69e36aee.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\9046fd84-09ce-4a19-a28a-614c69e36aee.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\9046fd84-09ce-4a19-a28a-614c69e36aee.wav"",""9046fd84-09ce-4a19-a28a-614c69e36aee.wav"")",76.8,known,383,d77ab143-3d30-4171-9ba8-e2ec1debba0c,5,0,unknown,0.8968,known->unknown,2,True,True,0,unknown,0.9988,known->unknown,2,True,True,True,both,
aef9288d-80b8-4bfd-bb8a-6726e452af17.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\aef9288d-80b8-4bfd-bb8a-6726e452af17.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\aef9288d-80b8-4bfd-bb8a-6726e452af17.wav"",""aef9288d-80b8-4bfd-bb8a-6726e452af17.wav"")",1.71,known,255,8be452b7-c2a3-4cbe-bc5a-7c7c15944416,5,0,unknown,0.3519,known->unknown,280,False,False,0,unknown,0.6319,known->unknown,378,False,False,True,both,
b372a961-f64c-49f4-ae06-22199f1bcfa9.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\b372a961-f64c-49f4-ae06-22199f1bcfa9.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\b372a961-f64c-49f4-ae06-22199f1bcfa9.wav"",""b372a961-f64c-49f4-ae06-22199f1bcfa9.wav"")",7.59,known,351,c7681dd2-f70e-4980-91d6-3aa969388534,5,0,unknown,0.6364,known->unknown,280,False,False,385,d814d1b0-0e6e-4d9f-921c-d03cad7d74e8,0.1855,known->wrong_known,41,False,False,True,both,
c50b85f7-9744-4ec9-ab20-983140bf500d.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\c50b85f7-9744-4ec9-ab20-983140bf500d.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\c50b85f7-9744-4ec9-ab20-983140bf500d.wav"",""c50b85f7-9744-4ec9-ab20-983140bf500d.wav"")",59.48,known,19,0842d2ad-b1f6-401b-b022-caa941701f1f,5,148,4e3c2da0-9a15-4e3f-873f-84ed281e2215,0.6742,known->wrong_known,9,False,False,0,unknown,0.6876,known->unknown,7,False,False,True,both,
cad496f3-947c-466b-929d-a8c3bc1a25c9.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\cad496f3-947c-466b-929d-a8c3bc1a25c9.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\cad496f3-947c-466b-929d-a8c3bc1a25c9.wav"",""cad496f3-947c-466b-929d-a8c3bc1a25c9.wav"")",3.93,known,367,ce641183-2c53-46d8-9d1e-3625d0c34df2,5,0,unknown,0.4151,known->unknown,76,False,False,0,unknown,0.5522,known->unknown,116,False,False,True,both,
d1164c59-943c-4548-a0a3-8a24042945ab.wav,D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\d1164c59-943c-4548-a0a3-8a24042945ab.wav,"=HYPERLINK(""D:\Projects\My projects\IAAA_Compet\Speaker-identification\data\processed\audio_wav\d1164c59-943c-4548-a0a3-8a24042945ab.wav"",""d1164c59-943c-4548-a0a3-8a24042945ab.wav"")",57.09,known,377,d47baa5f-b17e-42b5-bad9-57c4f3a355b3,5,0,unknown,0.8426,known->unknown,204,False,False,0,unknown,0.8073,known->unknown,107,False,False,True,both,
